Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate
South Dakota,US,2021-01-16 05:30:49,44.2998,-99.4388,104937,1629,98576,4732,46,11861.8586370568,389508,,1.55235998742102,84000046,USA,44029.1683010064,
Tennessee,US,2021-01-16 05:30:49,35.7478,-86.6923,676039,8311,602938,64790,47,9899.27918076183,6067669,,1.22936694480644,84000047,USA,88849.2371112524,
Texas,US,2021-01-16 05:30:49,31.0545,-97.5635,2069286,31693,1649735,387858,48,7136.48259213093,15443899,,1.53159108987351,84000048,USA,53262.3892338364,
Utah,US,2021-01-16 05:30:49,40.15,-111.8624,320102,1472,263256,55374,49,9984.59742766437,2436305,,0.459853421721826,84000049,USA,75993.0417054746,
Vermont,US,2021-01-16 05:30:49,44.0459,-72.7107,9734,163,6506,3065,50,1559.96339679065,788759,,1.67454283953154,84000050,USA,126405.914206821,
Virgin Islands,US,2021-01-16 05:30:49,18.3358,-64.8963,2166,24,2008,134,78,2019.24152589775,37925,,1.10803324099723,850,VIR,35355.3715926465,
Virginia,US,2021-01-16 05:30:49,37.7693,-78.17,422634,5656,34805,382173,51,4951.47395255051,4730680,,1.33827377825731,84000051,USA,55423.460483188,
Washington,US,2021-01-16 05:30:49,47.4009,-121.4905,285970,3903,,282067,53,3755.40404835629,4153214,,1.36482847851173,84000053,USA,54540.6744388923,
West Virginia,US,2021-01-16 05:30:49,38.4912,-80.9545,106649,1733,77900,27016,54,5950.9069289517,1732732,,1.62495663344241,84000054,USA,96684.702761548,
Wisconsin,US,2021-01-16 05:30:49,44.2685,-89.6165,563866,5770,485157,72939,55,9684.36911436008,5745570,,1.02329276813995,84000055,USA,98679.8648125509,
Wyoming,US,2021-01-16 05:30:49,42.756,-107.3025,48909,522,46502,1885,56,8450.66772179785,549805,,1.06728822916028,84000056,USA,94997.2268249825,
