Date,TestsTotaltests,TestsTotalsamplestestedpriorto1July2020,TestsTotalsamplestestedsince1July2020,TestsReasonfortestseekinghealthcaresymptomatic,TestsReasonforTestInboundTravel,TestsReasonforTestOnIslandSurveillanceScreening,TestsPendingResults,TestsNegativeTestsPriorto1July2020,TestsNegativeTestssince1July2020,TestsAverageTurnaroundTimeAllSwabsLast7days,TestsTotalNegativeTests,CasesTotalConfirmedPositiveCases,CasesFemalePositiveNumber,CasesMalePositiveNumber,CasesFemalePositivePercentage,CasesMalePositivePercentage,CasesAverageAgeTestedPositive,CasesSeven7DayNumberper100000,CasesFortnight14dayNumberper100000,CasesPositiveCasesIdentifiedPriorto1July2020,CasesPositiveCasesIdentifiedSince1July2020,CasesPositiveCasesIdentifiedSymptomaticIndividualsSeekingHealthcare,CasesPositiveCasesIdentifiedInboundTravelArrivalsScreening,CasesPositiveCasesIdentifiedAdmissionsScreening,CasesPositiveCasesIdentifiedWorkforceScreening,CasesPositiveCasesIdentifiedCohortScreening,CasesPositiveCasesIdentifiedContactTracing,CasesOldCasesConfirmedBySerology,CasesManagedInOtherJurisdictions,CasesCurrentKnownActiveCases,CasesSymptomatic,CasesAsymptomatic,CasesNumberOfKnownDirectContactsOfCurrentActiveCases,CasesDailyNewConfirmedCases,CasesKnownCasesInCareHomes,CasesKnownCasesInCommunity,CasesKnownCasesInHospital,RecoveriesTotalRecovered,RecoveriesFemaleRecoveredNumber,RecoveriesMaleRecoveredNumber,RecoveriesFemaleRecoveredPercentage,RecoveriesMaleRecoveredPercentage,RecoveriesAverageAgeRecovered,MortalityTotalDeaths,MortalityLaboratoryProvenDeaths,MortalityProbableCovid-19,MortalityDeathsGeneralHospital,MortalityDeathsStSaviours,MortalityDeathsCareHomes,MortalityDeathsDomesticProperties,MortalityDeathsAge50to59,Mortalitypercentageregistereddeathsaged50-59,MortalityDeathsAge60to69,Mortalitypercentageregistereddeathsaged60-69,MortalityDeathsAge70to79,Mortalitypercentageregistereddeathsaged70-79,MortalityDeathsAge80to89,Mortalitypercentageregistereddeathsaged80-89,MortalityDeathsAge90andover,Mortalitypercentageregistereddeathsaged90andover,MortalityDeathsFemale,MortalityDeathsMale,InboundTravelPercentageArrivalsScreeningIdentifiedatDay0,InboundTravelPercentageArrivalsScreeningIdentifiedatDay5,InboundTravelPercentageArrivalsScreeningIdentifiedatDay8or10,InboundTravelPercentageArrivingfromRed,InboundTravelPercentageArrivingfromAmber,InboundTravelPercentageArrivingfromGreen,InboundTravelPercentageArrivingbyAir,InboundTravelPercentageArrivingBySea,InboundTravelPercentageTravellersDeclaredasResident,InboundTravelReasonforTravelBusinessVisitortoJersey,InboundTravelReasonforTravelCriticalWorker,InboundTravelReasonforTravelHolidayLeisureVisitortoJersey,InboundTravelReasonforTravelJerseyResidentReturningHome,InboundTravelReasonforTravelNotRecorded,InboundTravelReasonforTravelSeasonalWorker,InboundTravelReasonforTravelUniversityStudentReturningHome,InboundTravelReasonforTravelVisitingFriendsRelativesinJersey,InboundTravelReasonforTravelCrewonInboundCraft,InboundTravelArrivalsfromAmber,InboundTravelArrivalsfromGreen,InboundTravelArrivalsfromRed,InboundTravelPositiveArrivalsByAir,InboundTravelPositiveArrivalsBySea,InboundTravelNumberArrivalsScreeningIdentifiedatDay0,InboundTravelNumberArrivalsScreeningIdentifiedatDay8or10,InboundTravelNumberArrivalsScreeningIdentifiedatDay5,InboundTravelReasonforTravelBoardingSchoolStudentReturningHome,InboundTravelReasonforTravelPercentageBoardingSchoolStudentReturningHome,InboundTravelReasonforTravelPercentageBusinessVisitortoJersey,InboundTravelReasonforTravelPercentageCriticalWorker,InboundTravelReasonforTravelPercentageHolidayLeisureVisitortoJersey,InboundTravelReasonforTravelPercentageJerseyResidentReturningHome,InboundTravelReasonforTravelPercentageNotRecorded,InboundTravelReasonforTravelPercentageSeasonalWorker,InboundTravelReasonforTravelPercentageUniversityStudentReturningHome,InboundTravelReasonforTravelPercentageVisitingFriendsRelativesinJersey,InboundTravelReasonforTravelPercentageCrewonInboundCraft,DateTime
2020-11-04,151860,15802,136058,2313,109034,24709,301,15482,135456,,float;#150938.000000000,620,347,273,0.5597,0.4403,46,50.09,78.85,320,311,19,190,6,6,,80,11,6,94,46,48,812,12,0,95,0,504,292,212,0.5794,0.4206,47,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9105,0.0895,0,0.1421,0.3368,0.5211,0.8368,0.1632,,,,,,,,,,,64,99,27,159,31,173,0,17,,,,,,,,,,,,"12:00 AM, Wednesday 4 November 2020"
2020-11-03,150892,15802,135090,2280,108613,24197,269,15482,134532,,float;#150014.000000000,608,342,266,0.5625,0.4375,46,43.6,76.99,320,299,19,185,6,5,,74,11,6,83,39,44,631,13,0,84,0,503,292,211,0.5805,0.4195,47,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9101,0.0847,0,0.1376,0.3386,0.5238,0.8324,0.1676,,,,,,,,,,,64,99,26,154,31,172,0,17,,,,,,,,,,,,"12:00 AM, Tuesday 3 November 2020"
2020-11-02,150193,15802,134391,2240,108300,23851,333,15482,133786,,float;#149268.000000000,591,333,258,0.5635,0.4365,47,35.25,76.07,320,282,16,181,6,4,,65,11,6,70,37,33,491,9,0,71,0,499,291,208,0.5832,0.4168,47,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.913,0,0,0.1304,0.3315,0.538,0.8287,0.1713,,,,,,,,,,,61,99,24,150,31,168,0,16,,,,,,,,,,,,"12:00 AM, Monday 2 November 2020"
2020-11-01,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1167,0.3333,0.55,,,,,,,,,,,,,60,99,21,,,,,,,,,,,,,,,,,"12:00 AM, Sunday 1 November 2020"
2020-10-31,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1117,0.3352,0.5531,,,,,,,,,,,,,60,99,20,,,,,,,,,,,,,,,,,"12:00 AM, Saturday 31 October 2020"
2020-10-30,148340,15802,132538,2115,106937,23323,582,15482,131538,,float;#147020.000000000,574,323,251,0.5627,0.4373,47,39.89,75.14,320,264,12,176,6,4,,57,10,6,74,39,35,482,6,0,74,0,478,283,195,0.5921,0.4079,47,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9101,0.0843,0,0.1067,0.3371,0.5562,0.8239,0.1761,,,,,,,,,,,60,99,19,145,31,162,0,16,,,,,,,,,,,,"12:00 AM, Friday 30 October 2020"
2020-10-29,147424,15802,131622,2099,106584,22939,614,15482,130758,,float;#146240.000000000,569,319,250,0.5606,0.4394,47,39.89,74.21,320,259,10,173,6,4,,57,10,6,80,45,35,463,2,0,80,0,467,275,192,0.5889,0.4111,47,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9143,0.0857,0,0.0971,0.3371,0.5657,0.8208,0.1792,,,,,,,,,,,59,99,17,142,31,160,0,15,,,,,,,,,,,,"12:00 AM, Thursday 29 October 2020"
2020-10-28,146629,15802,130827,2086,106071,22670,706,15482,129874,,float;#145356.000000000,566,318,248,0.5618,0.4382,47,38.96,72.36,320,256,10,172,6,4,,55,10,6,79,45,34,436,5,1,78,0,465,273,192,0.5871,0.4129,47,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9128,0.0814,0,0.0988,0.3314,0.5698,0.8256,0.1744,,,,,,,,,,,57,98,17,142,30,157,0,15,,,,,,,,,,,,"12:00 AM, Wednesday 28 October 2020"
2020-10-27,145921,15802,130119,2063,105685,22371,610,15482,129268,,float;#144750.000000000,560,314,246,0.5607,0.4393,47,38.03,73.28,320,250,9,169,6,4,,53,10,6,73,43,30,402,4,1,72,0,465,273,192,0.5871,0.4129,47,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9181,0.0819,0,0.0994,0.3275,0.5731,0.8225,0.1775,,,,,,,,,,,56,98,17,139,30,157,0,14,,,,,,,,,,,,"12:00 AM, Tuesday 27 October 2020"
2020-10-26,145056,15802,129254,2046,105187,22021,396,15482,128621,,float;#144103.000000000,556,313,243,0.5629,0.4371,47,43.6,76.07,320,246,9,167,6,4,,51,10,6,74,40,34,401,11,1,73,0,460,271,189,0.5891,0.4109,47,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9167,0,0,0.0952,0.3333,0.5714,0.8204,0.1796,,,,,,,,,,,56,96,16,137,30,154,0,14,,,,,,,,,,,,"12:00 AM, Monday 26 October 2020"
2020-10-25,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0843,0.3373,0.5783,,,,,,,,,,,,,56,96,14,,,,,,,,,,,,,,,,,"12:00 AM, Sunday 25 October 2020"
2020-10-24,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0745,0.3292,0.5963,,,,,,,,,,,,,53,96,12,,,,,,,,,,,,,,,,,"12:00 AM, Saturday 24 October 2020"
2020-10-23,142866,15802,127064,2024,103630,21410,857,15482,125996,,float;#141478.000000000,530,303,227,0.5717,0.4283,47,38.96,80.71,320,220,6,150,6,4,,45,10,6,82,40,42,489,7,1,81,0,426,254,172,0.5962,0.4038,48,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9114,0.0886,0,0.0759,0.3228,0.6013,0.8133,0.1867,,,,,,,,,,,51,95,12,122,28,144,0,14,,,,,,,,,,,,"12:00 AM, Friday 23 October 2020"
2020-10-22,141888,15802,126086,2004,103137,20945,1259,15482,124620,,float;#140102.000000000,526,301,225,0.5722,0.4278,47,35.25,79.78,320,216,6,148,6,4,,43,10,6,80,37,43,486,6,1,79,0,424,253,171,0.5967,0.4033,48,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9067,0.0867,0,0.08,0.3,0.62,0.8176,0.1824,,,,,,,,,,,45,93,12,121,27,136,0,14,,,,,,,,,,,,"12:00 AM, Thursday 22 October 2020"
2020-10-21,140700,15802,124898,1977,102367,20554,840,15482,123854,,float;#139336.000000000,523,299,224,0.5717,0.4283,48,34.32,72.36,320,213,6,147,6,4,,41,10,6,81,34,47,464,5,1,80,0,420,251,169,0.5976,0.4024,48,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9122,0.0811,0,0.0811,0.2973,0.6216,0.8163,0.1837,,,,,,,,,,,44,92,12,120,27,135,0,13,,,,,,,,,,,,"12:00 AM, Wednesday 21 October 2020"
2020-10-20,139648,15802,123846,1949,101804,20093,553,15482,123096,,float;#138578.000000000,516,293,223,0.5678,0.4322,48,34.32,71.43,320,206,5,146,5,4,,37,10,6,78,33,45,488,6,1,77,0,416,249,167,0.5986,0.4014,48,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9184,0.0748,0,0.0816,0.2993,0.619,0.8151,0.1849,,,,,,,,,,,44,91,12,119,27,135,0,12,,,,,,,,,,,,"12:00 AM, Tuesday 20 October 2020"
2020-10-19,138993,15802,123191,1914,101446,19831,766,15482,122235,,float;#137717.000000000,509,290,219,0.5697,0.4303,48,26.9,75.14,320,199,5,141,5,4,,35,10,6,73,30,43,489,5,1,72,0,414,247,167,0.5966,0.4034,48,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9241,0,0,0.0828,0.2897,0.6276,0.8298,0.1702,,,,,,,,,,,42,91,12,117,24,134,0,11,,,,,,,,,,,,"12:00 AM, Monday 19 October 2020"
2020-10-18,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.078,0.2766,0.6454,,,,,,,,,,,,,39,91,11,,,,,,,,,,,,,,,,,"12:00 AM, Sunday 18 October 2020"
2020-10-17,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.073,0.2701,0.6569,,,,,,,,,,,,,37,90,10,,,,,,,,,,,,,,,,,"12:00 AM, Saturday 17 October 2020"
2020-10-16,135305,15802,119503,1864,98595,19044,701,15482,118630,,float;#134112.000000000,490,282,208,0.5755,0.4245,48,37.11,68.65,320,180,3,129,4,4,,31,10,6,62,25,37,405,0,1,61,0,406,241,165,0.5936,0.4064,49,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.927,0.0657,0,0.073,0.2701,0.6569,0.8527,0.1473,,,,,,,,,,,37,90,10,110,19,127,0,10,,,,,,,,,,,,"12:00 AM, Friday 16 October 2020"
2020-10-15,134348,15802,118546,1840,97998,18708,834,15482,117541,,float;#133023.000000000,490,282,208,0.5755,0.4245,48,42.67,68.65,320,180,3,129,4,4,,31,10,6,63,24,39,403,2,1,62,0,405,240,165,0.5926,0.4074,49,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9297,0.0703,0,0.0781,0.2891,0.6328,0.8527,0.1473,,,,,,,,,,,37,81,10,110,19,119,0,9,,,,,,,,,,,,"12:00 AM, Thursday 15 October 2020"
2020-10-14,133634,15802,117832,1815,97469,18548,817,15482,116848,,float;#132330.000000000,487,281,206,0.577,0.423,48,43.6,67.72,320,177,3,128,4,4,,29,10,6,66,25,41,393,1,2,64,0,399,238,161,0.5965,0.4035,49,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9297,0.0703,0,0.0781,0.2891,0.6328,0.8516,0.1484,,,,,,,,,,,37,81,10,109,19,119,0,9,,,,,,,,,,,,"12:00 AM, Wednesday 14 October 2020"
2020-10-13,132517,15802,116715,1784,96726,18205,676,15482,115875,,float;#131357.000000000,483,279,204,0.5776,0.4224,48,44.53,60.3,320,173,3,127,4,4,,26,10,6,64,23,41,405,5,2,62,0,397,237,160,0.597,0.403,49,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9291,0.0709,0,0.0787,0.2913,0.6299,0.8504,0.1496,,,,,,,,,,,37,80,10,108,19,118,0,9,,,,,,,,,,,,"12:00 AM, Tuesday 13 October 2020"
2020-10-12,131166,15802,115364,1761,95734,17869,731,15482,114473,,float;#129955.000000000,479,276,203,0.5762,0.4238,48,43.6,53.8,320,169,3,124,4,4,,25,10,5,61,21,40,295,15,1,60,0,397,237,160,0.597,0.403,49,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9286,0,0,0.0794,0.2937,0.627,0.8548,0.1452,,,,,,,,,,,37,79,10,106,18,117,0,9,,,,,,,,,,,,"12:00 AM, Monday 12 October 2020"
2020-10-11,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0806,0.2903,0.629,,,,,,,,,,,,,36,78,10,,,,,,,,,,,,,,,,,"12:00 AM, Sunday 11 October 2020"
2020-10-10,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0783,0.2783,0.6435,,,,,,,,,,,,,32,74,9,,,,,,,,,,,,,,,,,"12:00 AM, Saturday 10 October 2020"
2020-10-09,127554,15802,111752,1730,92681,17341,737,15482,110885,,float;#126367.000000000,449,259,190,0.5768,0.4232,49,25.05,38.03,320,139,3,99,4,4,,20,10,4,45,23,22,309,9,1,44,0,384,230,154,0.599,0.401,49,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9174,0.0826,0,0.0826,0.2569,0.6606,0.8788,0.1212,,,,,,,,,,,28,72,9,87,12,100,0,9,,,,,,,,,,,,"12:00 AM, Friday 9 October 2020"
2020-10-08,126527,15802,110725,1707,91950,17068,985,15482,109616,,float;#125098.000000000,443,259,184,0.5847,0.4153,49,20.41,35.25,320,133,2,94,4,4,,20,10,4,41,22,19,291,2,0,41,0,382,229,153,0.5995,0.4005,49,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9091,0.0808,0,0.0707,0.2828,0.6465,0.883,0.117,,,,,,,,,,,28,64,7,83,11,90,0,9,,,,,,,,,,,,"12:00 AM, Thursday 8 October 2020"
2020-10-07,125478,15802,109676,1673,91201,16802,713,15482,108841,,float;#124323.000000000,441,257,184,0.5828,0.4172,49,25.05,34.32,320,131,2,92,4,4,,20,10,4,41,21,20,347,3,0,41,0,380,228,152,0.6,0.4,49,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9149,0.0851,0,0.0745,0.2979,0.6277,0.8804,0.1196,,,,,,,,,,,28,59,7,81,11,86,0,8,,,,,,,,,,,,"12:00 AM, Wednesday 7 October 2020"
2020-10-06,124718,15802,108916,1643,90642,16631,1148,15482,107649,,float;#123131.000000000,438,254,184,0.5799,0.4201,49,24.12,31.54,320,127,2,90,3,4,,20,9,4,38,20,18,327,5,0,38,0,380,228,152,0.6,0.4,49,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.913,0.087,0,0.0652,0.3043,0.6304,0.8778,0.1222,,,,,,,,,,,28,58,6,79,11,84,0,8,,,,,,,,,,,,"12:00 AM, Tuesday 6 October 2020"
2020-10-05,123693,15802,107891,1613,89838,16440,1458,15482,106321,,float;#121803.000000000,431,251,180,0.5824,0.4176,50,24.12,27.83,320,120,2,83,3,4,,20,9,4,31,16,15,289,6,0,31,0,380,228,152,0.6,0.4,49,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9091,0,0,0.0682,0.2841,0.6477,0.8795,0.1205,,,,,,,,,,,25,57,6,73,10,80,0,8,,,,,,,,,,,,"12:00 AM, Monday 5 October 2020"
2020-10-04,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0581,0.2791,0.6628,,,,,,,,,,,,,24,57,5,,,,,,,,,,,,,,,,,"12:00 AM, Sunday 4 October 2020"
2020-10-03,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0488,0.2927,0.6585,,,,,,,,,,,,,24,54,4,,,,,,,,,,,,,,,,,"12:00 AM, Saturday 3 October 2020"
2020-10-02,120592,15802,104790,1583,87256,15951,1064,15482,103624,,float;#119106.000000000,421,243,178,0.5772,0.4228,50,20.41,22.26,320,110,2,75,3,4,,18,9,3,23,7,16,198,4,0,23,0,379,227,152,0.5989,0.4011,49,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9221,0.0779,0,0.039,0.2857,0.6753,0.88,0.12,,,,,,,,,,,22,52,3,66,9,71,0,6,,,,,,,,,,,,"12:00 AM, Friday 2 October 2020"
2020-10-01,119361,15802,103559,1573,86356,15630,653,15482,102806,,float;#118288.000000000,419,242,177,0.5776,0.4224,50,20.41,20.41,320,108,2,75,3,4,,16,9,3,22,5,17,194,0,0,22,0,378,227,151,0.6005,0.3995,49,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9211,0.0789,0,0.0395,0.2895,0.6711,0.88,0.12,,,,,,,,,,,22,51,3,66,9,70,0,6,,,,,,,,,,,,"12:00 AM, Thursday 1 October 2020"
2020-09-30,118699,15802,102897,1550,85953,15394,849,15482,101953,,float;#117435.000000000,414,239,175,0.5773,0.4227,50,12.99,21.34,320,103,2,70,3,4,,16,9,3,20,6,14,243,6,0,20,0,375,227,148,0.6053,0.3947,49,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.92,0.08,0,0.04,0.2933,0.6667,0.8714,0.1286,,,,,,,,,,,22,50,3,61,9,69,0,6,,,,,,,,,,,,"12:00 AM, Wednesday 30 September 2020"
2020-09-29,117810,15802,102008,1518,85357,15133,1412,15482,100506,,float;#115988.000000000,409,237,172,0.5795,0.4205,50,11.13,20.41,320,98,2,65,3,4,,16,9,3,18,7,11,222,4,0,18,0,372,225,147,0.6048,0.3952,49,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9143,0.0857,0,0.0286,0.3143,0.6571,0.8615,0.1385,,,,,,,,,,,22,46,2,56,9,64,0,6,,,,,,,,,,,,"12:00 AM, Tuesday 29 September 2020"
2020-09-28,116659,15802,100857,1495,84465,14897,1444,15482,99324,,float;#114806.000000000,408,237,171,0.5809,0.4191,50,10.2,20.41,320,97,2,64,3,4,,16,9,3,20,10,10,216,3,0,20,0,369,224,145,0.607,0.393,49,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9104,0,0,0.0299,0.3284,0.6418,0.8594,0.1406,,,,,,,,,,,22,43,2,55,9,61,0,6,,,,,,,,,,,,"12:00 AM, Monday 28 September 2020"
2020-09-27,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0154,0.3385,0.6462,,,,,,,,,,,,,22,42,1,,,,,,,,,,,,,,,,,"12:00 AM, Sunday 27 September 2020"
2020-09-26,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0156,0.3438,0.6406,,,,,,,,,,,,,22,41,1,,,,,,,,,,,,,,,,,"12:00 AM, Saturday 26 September 2020"
2020-09-25,113035,15802,97233,1454,81250,14529,737,15482,96415,,float;#111897.000000000,400,235,165,0.5875,0.4125,50,6.49,18.55,320,89,2,59,3,4,,13,9,2,16,10,6,178,5,0,16,0,366,224,142,0.612,0.388,50,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9063,0.0938,0,0.0156,0.3438,0.6406,0.8475,0.1525,,,,,,,,,,,22,41,1,50,9,58,0,6,,,,,,,,,,,,"12:00 AM, Friday 25 September 2020"
2020-09-24,111968,15802,96166,1441,80367,14358,645,15482,95441,,float;#110923.000000000,399,234,165,0.5865,0.4135,50,6.49,19.48,320,88,2,58,3,4,,13,9,2,16,10,6,191,0,0,16,0,365,223,142,0.611,0.389,50,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9016,0.0984,0,0.0164,0.3443,0.6393,0.8448,0.1552,,,,,,,,,,,21,39,1,49,9,55,0,6,,,,,,,,,,,,"12:00 AM, Thursday 24 September 2020"
2020-09-23,111285,15802,95483,1419,79876,14188,948,15482,94455,,float;#109937.000000000,399,234,165,0.5865,0.4135,50,10.2,20.4,320,88,2,58,3,4,,13,9,2,16,10,6,191,0,0,16,0,365,223,142,0.611,0.389,50,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.8983,0.1017,0,0.0169,0.3559,0.6271,0.8448,0.1552,,,,,,,,,,,21,37,1,49,9,53,0,6,,,,,,,,,,,,"12:00 AM, Wednesday 23 September 2020"
2020-09-22,110315,15802,94513,1399,79187,13927,1327,15482,93107,,float;#108589.000000000,398,233,165,0.5854,0.4146,50,9.28,20.4,320,87,2,57,3,4,,13,9,2,17,9,8,212,2,0,17,0,363,221,142,0.6088,0.3912,50,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.8983,0.0847,0,0.0169,0.3559,0.6271,0.8421,0.1579,,,,,,,,,,,21,37,1,48,9,53,0,6,,,,,,,,,,,,"12:00 AM, Tuesday 22 September 2020"
2020-09-21,109056,15802,93254,1363,78167,13724,1297,15482,91880,,float;#107362.000000000,396,232,164,0.5859,0.4141,51,11.13,19.48,320,85,2,55,3,4,,13,9,2,17,9,8,222,2,0,17,0,361,220,141,0.6094,0.3906,50,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9138,0,0,0.0172,0.3621,0.6207,0.8545,0.1455,,,,,,,,,,,21,36,1,47,8,53,0,5,,,,,,,,,,,,"12:00 AM, Monday 21 September 2020"
2020-09-20,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0175,0.3509,0.6316,,,,,,,,,,,,,20,36,1,,,,,,,,,,,,,,,,,"12:00 AM, Sunday 20 September 2020"
2020-09-19,,,,,,,,,,,float;#0,-1,,,,,,-1,-1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0179,0.3393,0.6429,,,,,,,,,,,,,19,36,1,,,,,,,,,,,,,,,,,"12:00 AM, Saturday 19 September 2020"
2020-09-18,104837,15802,89035,1297,74598,13140,788,15482,88173,,float;#103655.000000000,393,231,162,0.5878,0.4122,51,12.06,14.84,320,82,2,53,3,4,,12,9,2,17,7,10,212,2,0,17,0,358,219,139,0.6117,0.3883,51,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9273,0.0727,0,0.0182,0.3273,0.6545,0.8679,0.1321,,,,,,,,,,,18,36,1,46,7,51,0,4,,,,,,,,,,,,"12:00 AM, Friday 18 September 2020"
2020-09-17,103938,15802,88136,1263,73932,12941,930,15482,87134,,float;#102616.000000000,391,229,162,0.5857,0.4143,51,11.13,14.84,320,80,2,53,3,4,,10,9,2,15,6,9,178,0,0,15,0,358,219,139,0.6117,0.3883,51,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9273,0.0545,0,0.0182,0.3273,0.6545,0.8679,0.1321,,,,,,,,,,,18,36,1,46,7,51,0,4,,,,,,,,,,,,"12:00 AM, Thursday 17 September 2020"
2020-09-16,102843,15802,87041,1234,73105,12703,746,15482,86225,,float;#101707.000000000,389,229,160,0.5887,0.4113,51,8.35,14.84,320,78,2,51,3,4,,10,9,2,13,5,8,167,2,0,13,0,358,219,139,0.6117,0.3883,51,32,16,16,,,,,1,0.0313,3,0.0938,9,0.2813,12,0.375,7,0.2188,0.375,0.625,0.9434,0.0566,0,0.0189,0.3396,0.6415,0.8627,0.1373,,,,,,,,,,,18,34,1,44,7,50,0,3,,,,,,,,,,,,"12:00 AM, Wednesday 16 September 2020"
